"","param","2.5 %","97.5 %","method","estimate","code"
"65","ctmax",30.5033750167111,55.4861319742995,"case bootstrap",35.331,"wp1"
"66","e",0.203676321691932,0.954602440459754,"case bootstrap",0.575317483963276,"wp1"
"67","thermal_safety_margin",4.40589180970389,20.941925469649,"case bootstrap",6.22,"wp1"
"68","thermal_tolerance",24.1855691034952,50.5604640468221,"case bootstrap",34.199,"wp1"
"69","breadth",2.87547109336514,7.06761776718857,"case bootstrap",5.8,"wp1"
"70","rmax",3.25752631617016,3.92108873456789,"case bootstrap",3.6899226597905,"hm1"
"71","topt",25.7937184327401,30,"case bootstrap",28.953,"hm1"
"72","ctmin",-30.1119886623439,1.17925286290572,"case bootstrap",-6.54,"hm1"
"73","ctmax",32.1459644995112,59.7988699389685,"case bootstrap",36.691,"hm1"
"74","e",0.131515729677691,0.715646162398539,"case bootstrap",0.413922629082019,"hm1"
"75","thermal_safety_margin",5.5463346586284,29.6573852040982,"case bootstrap",7.738,"hm1"
"76","thermal_tolerance",32.0590272136091,77.7610606154906,"case bootstrap",43.231,"hm1"
"77","breadth",5.16386922300381,10,"case bootstrap",7.051,"hm1"
"78","rmax",4.79620346886559,5.28294036951228,"case bootstrap",5.0646079795427,"gb2"
"79","topt",28.5280767679827,30,"case bootstrap",29.803,"gb2"
"80","ctmin",-14.4776062768291,11.9886805406768,"case bootstrap",4.062,"gb2"
"81","ctmax",32.3346012313667,56.7446096762823,"case bootstrap",35.576,"gb2"
"82","e",0.391430934916581,1.32848537279821,"case bootstrap",0.719165764416393,"gb2"
"83","q10",2.30377389076687,3.06019234357527,"case bootstrap",2.58086743984342,"gb2"
"84","thermal_safety_margin",3.41386153897329,21.0348086550008,"case bootstrap",5.773,"gb2"
"85","thermal_tolerance",20.386788324961,68.4018664904648,"case bootstrap",31.514,"gb2"
"86","breadth",3.27848535792672,6.44615298992107,"case bootstrap",4.816,"gb2"
"87","rmax",3.74135238774846,4.67237389947715,"case bootstrap",4.28201451134267,"wh2"
"88","topt",26.2557483376644,27.4175011352029,"case bootstrap",26.786,"wh2"
"89","ctmin",-14.559,2.22671795433376,"case bootstrap",-1.33,"wh2"
"90","ctmax",32.1385322534331,35.846,"case bootstrap",32.933,"wh2"
"91","e",0.108575851948077,0.968114688628693,"case bootstrap",0.56321356202982,"wh2"
"92","eh",0.0804387532090866,1.11609625526244,"case bootstrap",0.906953017408749,"wh2"
"93","thermal_safety_margin",5.47195567580944,9.519,"case bootstrap",6.147,"wh2"
