numero,param,conf_lower,conf_upper,method,estimate,code,pop,bin
70,rmax,3.2200552,3.984839589,case bootstrap,3.689922178,hm1,hm,1
71,topt,26.97939158,30,case bootstrap,28.953,hm1,hm,1
72,ctmin,-25.04935635,1.681001758,case bootstrap,-6.539,hm1,hm,1
73,ctmax,34.18158819,52.587,case bootstrap,36.691,hm1,hm,1
74,e,0.129183706,0.673876294,case bootstrap,0.413922629,hm1,hm,1
75,thermal_safety_margin,5.695791502,21.29170955,case bootstrap,7.738,hm1,hm,1
76,thermal_tolerance,32.00032563,72.69936596,case bootstrap,43.23,hm1,hm,1
77,breadth,5.265675433,9.997967805,case bootstrap,7.051,hm1,hm,1
78,rmax,4.789051488,5.260947834,case bootstrap,5.064618151,gb2,gb,2
79,topt,28.6513821,30,case bootstrap,29.803,gb2,gb,2
80,ctmin,-7.998045803,11.04306839,case bootstrap,4.061,gb2,gb,2
81,ctmax,32.99382024,50.68592184,case bootstrap,35.577,gb2,gb,2
82,e,0.469596426,1.273338373,case bootstrap,0.719165764,gb2,gb,2
83,q10,2.342763635,3.125127189,case bootstrap,2.58086744,gb2,gb,2
84,thermal_safety_margin,3.503184155,13.45435182,case bootstrap,5.774,gb2,gb,2
85,thermal_tolerance,21.70786233,52.40513375,case bootstrap,31.516,gb2,gb,2
86,breadth,2.970447775,6.612076868,case bootstrap,4.816,gb2,gb,2
87,rmax,3.671604158,4.649479646,case bootstrap,4.282011697,wh2,wh,2
88,topt,26.3188105,28.05558044,case bootstrap,26.786,wh2,wh,2
89,ctmin,-14.15519721,2.946577019,case bootstrap,-1.329,wh2,wh,2
90,ctmax,32.10621948,36.87188191,case bootstrap,32.933,wh2,wh,2
91,e,0.105959192,0.949798202,case bootstrap,0.563213562,wh2,wh,2
92,eh,0.566264466,1.169560999,case bootstrap,0.906953017,wh2,wh,2
93,thermal_safety_margin,5.344721572,8.983529519,case bootstrap,6.147,wh2,wh,2
94,thermal_tolerance,29.25080188,49.32085265,case bootstrap,34.262,wh2,wh,2
95,breadth,7.174032967,10,case bootstrap,7.997,wh2,wh,2
96,skewness,-0.898124738,0.052038718,case bootstrap,-0.343739455,wh2,wh,2
97,rmax,4.319026512,4.877207456,case bootstrap,4.654636328,oy2,oy,2
98,topt,26.51859232,30,case bootstrap,30,oy2,oy,2
99,ctmin,-7.172403804,2.519297517,case bootstrap,-1.906,oy2,oy,2
100,ctmax,34.10408157,57.57676876,case bootstrap,37.649,oy2,oy,2
101,e,0.319882351,0.629723864,case bootstrap,0.511876114,oy2,oy,2
102,thermal_safety_margin,5.933385733,27.51695005,case bootstrap,7.649,oy2,oy,2
103,thermal_tolerance,30.6920157,61.02628571,case bootstrap,39.555,oy2,oy,2
104,breadth,3.044364521,6.474194224,case bootstrap,5.25,oy2,oy,2
105,rmax,3.855866861,4.563091515,case bootstrap,4.26735415,bf2,bf,2
