State,Collection.site,Shell.height,
MA,WH,21.74,5
MA,WH,27.76,5
MA,WH,22.52,5
MA,WH,21.14,5
MA,WH,26.59,5
MA,WH,25.08,5
MA,WH,25.42,5
NH,GB,31.93,6
NH,GB,30.87,6
NH,GB,31.35,6
NH,GB,32.64,6
NH,GB,26.73,6
NH,GB,31.45,6
NH,GB,35.95,6
NH,GB,29.55,6
NH,GB,24.86,6
NH,GB,24.57,6
NH,GB,28.08,6
NH,GB,31.86,6
NH,GB,26.44,6
NH,GB,27.58,6
NH,GB,31.27,6
NH,GB,30.41,6
NH,GB,28.08,6
NH,GB,23.23,6
NH,GB,27.34,6
NH,GB,31.39,6
NH,GB,39.24,6
NH,GB,28.04,6
NH,GB,32.65,6
NH,GB,28.1,6
NH,GB,31.05,6
NH,GB,33.73,6
NH,GB,33.01,6
NH,GB,31.18,6
NH,GB,22.52,6
NH,GB,22.04,6
NH,GB,25.81,6
NH,GB,34.95,6
NH,GB,31.15,6
NH,GB,23.35,6
NH,GB,30.83,6
NH,GB,27.68,6
NH,GB,32.17,6
NH,GB,27.47,6
NH,GB,16.05,6
NH,GB,26.55,6
NH,GB,20.49,6
NH,GB,24.56,6
NH,GB,26.56,6
NH,GB,32.26,6
NH,GB,23.23,6
NH,GB,22.18,6
NH,GB,23.55,6
NH,GB,22.08,6
NH,GB,29.72,6
NH,GB,26.23,6
NH,GB,31.1,6
NH,GB,23.75,6
NH,GB,33.06,6
NH,GB,32.7,6
NH,GB,33.34,6
NH,GB,22.53,6
NH,GB,24.69,6
NH,GB,19.08,6
NH,GB,20.36,6
NH,GB,22,6
NH,GB,18.25,6
NH,GB,18.86,6
NH,GB,31.12,6
NH,GB,25.97,6
NH,GB,29.31,6
NH,GB,27.72,6
NH,GB,30.95,6
NH,GB,21.75,6
NH,GB,28.66,6
NH,GB,21.3,6
NH,GB,29.67,6
NH,GB,24.53,6
NH,GB,28.06,6
NH,GB,19.83,6
NH,GB,23.28,6
NH,GB,21.3,6
NH,GB,17.85,6
NH,GB,23.45,6
NH,GB,22.7,6
NH,GB,36.21,6
NH,GB,30.65,6
NH,GB,24.34,6
NH,GB,28.93,6
NH,GB,21.49,6
NH,GB,23.6,6
NH,GB,33.71,6
NH,GB,27.85,6
NH,GB,34.56,6
NH,GB,33.04,6
NH,GB,23.46,6
NH,GB,22.35,6
NH,GB,23.64,6
NH,GB,16.16,6
NH,GB,28.96,6
NH,GB,20.9,6
NH,GB,28.76,6
NH,GB,23.61,6
NH,GB,18.54,6
