"pop","brkptx","brkpty","lat","mean","s.mean","q.mean","t.mean","oce","ratio","brkptxq","brkptyq","max"
"Willapa",24.0000006358792,0.0161856176995674,46.5007,13.917282086743,18.7354440204803,19.807,20.4396,"p",NA,29.6456287004776,0.0176469341830934,13.0615
"Humboldt",23.9999847845452,0.0133986545143185,40.849448,14.4331228987673,17.3631819357063,18.77,19.78,"p",NA,33.0270980704766,0.0167158622224449,11.44
"Great Bay",28.3839557885654,0.0261132548807955,43.089589,12.4009737864078,20.8896884628852,22.911,23.697,"a",NA,37.7314719289937,0.0282603002281412,14.23
"Woods Hole",26.9807747740849,0.019928024185429,41.57687,12.1004425979912,21.3536016727653,23.6,24.3,"a",NA,26.9032583734966,0.0172577481392876,14.4
"Oyster",26.0001727958867,0.0174069846880253,37.288562,17.08423552253,27.5402033688699,28.92496,30.07281,"a",NA,56.1075952013308,0.0349816709951699,22.14417
"Beaufort",26.0000836455916,0.0179688966566075,34.819,19.737689000189,28.284144124491,29.1,29.8,"a",NA,35.919911641093,0.0211505946137749,25.3
"Folly Beach",23.9999906521649,0.0150874981539277,32.660525,20.3494395727143,29.121257011362,29.8,30,"a",NA,27.7414016397066,0.015298561779013,26.7
"Skidaway",27.0041783950988,0.0198364701674919,31.97,21.457393958234,29.3612347182838,30.262,30.978,"a",NA,27.7972345500345,0.017218814288643,22.678
