WTMP,DateTimeStamp,site
16.024,11/16/2018 23:39,to3
16.0297,11/17/2018 0:09,to3
16.0618,11/17/2018 0:39,to3
16.0777,11/17/2018 1:09,to3
16.1079,11/17/2018 1:39,to3
16.1173,11/17/2018 2:09,to3
16.1256,11/17/2018 2:39,to3
16.1444,11/17/2018 3:09,to3
16.1623,11/17/2018 3:39,to3
16.1429,11/17/2018 4:09,to3
16.0984,11/17/2018 4:39,to3
15.9972,11/17/2018 5:09,to3
15.9936,11/17/2018 5:39,to3
15.8602,11/17/2018 6:09,to3
15.7675,11/17/2018 6:39,to3
15.674,11/17/2018 7:09,to3
15.6116,11/17/2018 7:39,to3
15.5421,11/17/2018 8:09,to3
15.4377,11/17/2018 8:39,to3
15.3412,11/17/2018 9:09,to3
15.2248,11/17/2018 9:39,to3
15.2249,11/17/2018 10:09,to3
15.2339,11/17/2018 10:39,to3
15.2669,11/17/2018 11:09,to3
15.3235,11/17/2018 11:39,to3
15.2984,11/17/2018 12:09,to3
15.3297,11/17/2018 12:39,to3
15.4376,11/17/2018 13:09,to3
15.2488,11/17/2018 13:39,to3
15.4767,11/17/2018 14:09,to3
15.5324,11/17/2018 14:39,to3
15.6257,11/17/2018 15:09,to3
15.8494,11/17/2018 15:39,to3
15.8958,11/17/2018 16:09,to3
15.8777,11/17/2018 16:39,to3
15.6873,11/17/2018 17:09,to3
15.5048,11/17/2018 17:39,to3
15.4487,11/17/2018 18:09,to3
15.412,11/17/2018 18:39,to3
15.3679,11/17/2018 19:09,to3
15.3462,11/17/2018 19:39,to3
15.3494,11/17/2018 20:09,to3
15.2761,11/17/2018 20:39,to3
15.2087,11/17/2018 21:09,to3
15.174,11/17/2018 21:39,to3
15.1852,11/17/2018 22:09,to3
15.1515,11/17/2018 22:39,to3
15.0961,11/17/2018 23:09,to3
15.0994,11/17/2018 23:39,to3
15.0668,11/18/2018 0:09,to3
15.1299,11/18/2018 0:39,to3
15.1302,11/18/2018 1:09,to3
15.1577,11/18/2018 1:39,to3
15.191,11/18/2018 2:09,to3
15.2639,11/18/2018 2:39,to3
15.3333,11/18/2018 3:09,to3
15.4511,11/18/2018 3:39,to3
15.7529,11/18/2018 4:09,to3
15.7728,11/18/2018 4:39,to3
15.7923,11/18/2018 5:09,to3
15.369,11/18/2018 5:39,to3
15.305,11/18/2018 6:09,to3
15.2341,11/18/2018 6:39,to3
15.1672,11/18/2018 7:09,to3
14.9655,11/18/2018 7:39,to3
14.8136,11/18/2018 8:09,to3
14.7241,11/18/2018 8:39,to3
14.6729,11/18/2018 9:09,to3
14.5712,11/18/2018 9:39,to3
14.4432,11/18/2018 10:09,to3
14.4413,11/18/2018 10:39,to3
14.494,11/18/2018 11:09,to3
14.5139,11/18/2018 11:39,to3
14.5249,11/18/2018 12:09,to3
14.4838,11/18/2018 12:39,to3
14.5534,11/18/2018 13:09,to3
14.5378,11/18/2018 13:39,to3
14.7362,11/18/2018 14:09,to3
15.2478,11/18/2018 14:39,to3
15.2288,11/18/2018 15:09,to3
15.3448,11/18/2018 15:39,to3
15.4018,11/18/2018 16:09,to3
15.4126,11/18/2018 16:39,to3
15.3916,11/18/2018 17:09,to3
15.3154,11/18/2018 17:39,to3
15.2147,11/18/2018 18:09,to3
15.1416,11/18/2018 18:39,to3
15.1279,11/18/2018 19:09,to3
14.8119,11/18/2018 19:39,to3
14.7043,11/18/2018 20:09,to3
14.7229,11/18/2018 20:39,to3
14.577,11/18/2018 21:09,to3
14.4864,11/18/2018 21:39,to3
14.4292,11/18/2018 22:09,to3
14.3788,11/18/2018 22:39,to3
14.3299,11/18/2018 23:09,to3
14.2497,11/18/2018 23:39,to3
14.1116,11/19/2018 0:09,to3
14.1154,11/19/2018 0:39,to3
14.1455,11/19/2018 1:09,to3
14.3378,11/19/2018 1:39,to3
14.4072,11/19/2018 2:09,to3
14.4659,11/19/2018 2:39,to3
14.5687,11/19/2018 3:09,to3
14.619,11/19/2018 3:39,to3
14.8673,11/19/2018 4:09,to3
15.1566,11/19/2018 4:39,to3
15.2476,11/19/2018 5:09,to3
15.2543,11/19/2018 5:39,to3
15.2436,11/19/2018 6:09,to3
15.1942,11/19/2018 6:39,to3
15.1063,11/19/2018 7:09,to3
14.7792,11/19/2018 7:39,to3
14.5603,11/19/2018 8:09,to3
14.3018,11/19/2018 8:39,to3
14.281,11/19/2018 9:09,to3
14.1794,11/19/2018 9:39,to3
14.0844,11/19/2018 10:09,to3
13.9903,11/19/2018 10:39,to3
13.8777,11/19/2018 11:09,to3
13.7921,11/19/2018 11:39,to3
14.0169,11/19/2018 12:09,to3
14.1161,11/19/2018 12:39,to3
14.2568,11/19/2018 13:09,to3
14.2033,11/19/2018 13:39,to3
14.4922,11/19/2018 14:09,to3
14.63,11/19/2018 14:39,to3
14.7094,11/19/2018 15:09,to3
14.9895,11/19/2018 15:39,to3
15.0427,11/19/2018 16:09,to3
15.067,11/19/2018 16:39,to3
15.0913,11/19/2018 17:09,to3
15.0795,11/19/2018 17:39,to3
15.0707,11/19/2018 18:09,to3
14.9686,11/19/2018 18:39,to3
14.9146,11/19/2018 19:09,to3
14.6918,11/19/2018 19:39,to3
14.4963,11/19/2018 20:09,to3
14.4064,11/19/2018 20:39,to3
14.2959,11/19/2018 21:09,to3
14.2397,11/19/2018 21:39,to3
14.1758,11/19/2018 22:09,to3
14.1037,11/19/2018 22:39,to3
14.0037,11/19/2018 23:09,to3
13.9267,11/19/2018 23:39,to3
13.799,11/20/2018 0:09,to3
13.7566,11/20/2018 0:39,to3
13.8941,11/20/2018 1:09,to3
14.032,11/20/2018 1:39,to3
14.0368,11/20/2018 2:09,to3
13.9857,11/20/2018 2:39,to3
14.0126,11/20/2018 3:09,to3
14.3971,11/20/2018 3:39,to3
14.4889,11/20/2018 4:09,to3
14.4937,11/20/2018 4:39,to3
14.5601,11/20/2018 5:09,to3
14.6363,11/20/2018 5:39,to3
14.6336,11/20/2018 6:09,to3
14.6279,11/20/2018 6:39,to3
14.6362,11/20/2018 7:09,to3
14.6162,11/20/2018 7:39,to3
14.5542,11/20/2018 8:09,to3
14.5043,11/20/2018 8:39,to3
14.421,11/20/2018 9:09,to3
14.3566,11/20/2018 9:39,to3
14.3282,11/20/2018 10:09,to3
14.2307,11/20/2018 10:39,to3
14.1539,11/20/2018 11:09,to3
14.2267,11/20/2018 11:39,to3
14.1658,11/20/2018 12:09,to3
14.1379,11/20/2018 12:39,to3
14.0136,11/20/2018 13:09,to3
14.1882,11/20/2018 13:39,to3
14.566,11/20/2018 14:09,to3
14.5223,11/20/2018 14:39,to3
14.5803,11/20/2018 15:09,to3
14.615,11/20/2018 15:39,to3
14.7217,11/20/2018 16:09,to3
14.8309,11/20/2018 16:39,to3
14.8649,11/20/2018 17:09,to3
14.8805,11/20/2018 17:39,to3
14.8738,11/20/2018 18:09,to3
14.6899,11/20/2018 18:39,to3
14.7933,11/20/2018 19:09,to3
14.6053,11/20/2018 19:39,to3
14.5192,11/20/2018 20:09,to3
14.4661,11/20/2018 20:39,to3
14.3764,11/20/2018 21:09,to3
14.2514,11/20/2018 21:39,to3
14.226,11/20/2018 22:09,to3
