WTMP,site,DateTimeStamp
11.07,hmi2,1/10/2018 1:01
11.09,hmi2,1/10/2018 1:16
11.1,hmi2,1/10/2018 1:31
11.11,hmi2,1/10/2018 1:46
11.16,hmi2,1/10/2018 2:16
11.18,hmi2,1/10/2018 2:31
11.19,hmi2,1/10/2018 2:46
11.19,hmi2,1/10/2018 3:01
11.18,hmi2,1/10/2018 3:31
11.18,hmi2,1/10/2018 3:46
11.18,hmi2,1/10/2018 4:01
11.1,hmi2,1/10/2018 4:16
11.1,hmi2,1/10/2018 4:46
11.12,hmi2,1/10/2018 5:01
11.09,hmi2,1/10/2018 5:16
11.06,hmi2,1/10/2018 5:31
11,hmi2,1/10/2018 6:01
10.99,hmi2,1/10/2018 6:16
10.98,hmi2,1/10/2018 6:31
10.98,hmi2,1/10/2018 6:46
10.93,hmi2,1/10/2018 7:16
10.95,hmi2,1/10/2018 7:31
10.93,hmi2,1/10/2018 7:46
10.9,hmi2,1/10/2018 8:01
10.83,hmi2,1/10/2018 8:31
10.81,hmi2,1/10/2018 8:46
10.82,hmi2,1/10/2018 9:01
10.86,hmi2,1/10/2018 9:16
10.92,hmi2,1/10/2018 9:46
10.9,hmi2,1/10/2018 10:01
10.88,hmi2,1/10/2018 10:16
10.88,hmi2,1/10/2018 10:31
10.93,hmi2,1/10/2018 11:01
10.96,hmi2,1/10/2018 11:16
11,hmi2,1/10/2018 11:31
11.04,hmi2,1/10/2018 11:46
11.1,hmi2,1/10/2018 12:16
11.12,hmi2,1/10/2018 12:31
11.13,hmi2,1/10/2018 12:46
11.14,hmi2,1/10/2018 13:01
11.19,hmi2,1/10/2018 13:31
11.2,hmi2,1/10/2018 13:46
11.21,hmi2,1/10/2018 14:01
11.21,hmi2,1/10/2018 14:16
11.22,hmi2,1/10/2018 14:46
11.22,hmi2,1/10/2018 15:01
11.22,hmi2,1/10/2018 15:16
11.22,hmi2,1/10/2018 15:31
11.32,hmi2,1/10/2018 16:01
11.27,hmi2,1/10/2018 16:16
11.26,hmi2,1/10/2018 16:31
11.23,hmi2,1/10/2018 16:46
11.21,hmi2,1/10/2018 17:16
11.2,hmi2,1/10/2018 17:31
11.21,hmi2,1/10/2018 17:46
11.21,hmi2,1/10/2018 18:01
11.15,hmi2,1/10/2018 18:31
11.15,hmi2,1/10/2018 18:46
11.14,hmi2,1/10/2018 19:01
11.14,hmi2,1/10/2018 19:16
11.13,hmi2,1/10/2018 19:46
11.12,hmi2,1/10/2018 20:01
11.12,hmi2,1/10/2018 20:16
11.12,hmi2,1/10/2018 20:31
11.12,hmi2,1/10/2018 21:01
11.12,hmi2,1/10/2018 21:16
11.12,hmi2,1/10/2018 21:31
11.12,hmi2,1/10/2018 21:46
11.11,hmi2,1/10/2018 22:16
11.11,hmi2,1/10/2018 22:31
11.11,hmi2,1/10/2018 22:46
11.11,hmi2,1/10/2018 23:01
11.13,hmi2,1/10/2018 23:31
11.15,hmi2,1/10/2018 23:46
11.18,hmi2,1/11/2018 0:31
11.22,hmi2,1/11/2018 1:46
11.3,hmi2,1/11/2018 3:01
11.32,hmi2,1/11/2018 4:16
11.19,hmi2,1/11/2018 5:31
11.09,hmi2,1/11/2018 6:46
11.05,hmi2,1/11/2018 8:01
10.97,hmi2,1/11/2018 9:16
11.03,hmi2,1/11/2018 10:31
11.07,hmi2,1/11/2018 11:46
11.17,hmi2,1/11/2018 13:01
11.25,hmi2,1/11/2018 14:16
11.28,hmi2,1/11/2018 15:31
11.51,hmi2,1/11/2018 16:46
11.37,hmi2,1/11/2018 18:01
11.29,hmi2,1/11/2018 19:16
11.28,hmi2,1/11/2018 20:31
11.27,hmi2,1/11/2018 21:46
11.28,hmi2,1/11/2018 23:01
11.16,hmi2,1/11/2018 0:01
11.17,hmi2,1/11/2018 0:16
11.18,hmi2,1/11/2018 0:46
11.19,hmi2,1/11/2018 1:01
11.2,hmi2,1/11/2018 1:16
11.21,hmi2,1/11/2018 1:31
11.24,hmi2,1/11/2018 2:01
11.24,hmi2,1/11/2018 2:16
11.25,hmi2,1/11/2018 2:31
11.29,hmi2,1/11/2018 2:46
11.32,hmi2,1/11/2018 3:16
11.32,hmi2,1/11/2018 3:31
11.33,hmi2,1/11/2018 3:46
11.3,hmi2,1/11/2018 4:01
11.32,hmi2,1/11/2018 4:31
11.21,hmi2,1/11/2018 4:46
11.15,hmi2,1/11/2018 5:01
11.17,hmi2,1/11/2018 5:16
11.17,hmi2,1/11/2018 5:46
11.15,hmi2,1/11/2018 6:01
11.13,hmi2,1/11/2018 6:16
11.12,hmi2,1/11/2018 6:31
11.09,hmi2,1/11/2018 7:01
11.07,hmi2,1/11/2018 7:16
11.07,hmi2,1/11/2018 7:31
11.07,hmi2,1/11/2018 7:46
11.01,hmi2,1/11/2018 8:16
11.02,hmi2,1/11/2018 8:31
11,hmi2,1/11/2018 8:46
10.98,hmi2,1/11/2018 9:01
10.96,hmi2,1/11/2018 9:31
10.96,hmi2,1/11/2018 9:46
10.98,hmi2,1/11/2018 10:01
11,hmi2,1/11/2018 10:16
11.04,hmi2,1/11/2018 10:46
11.07,hmi2,1/11/2018 11:01
11.08,hmi2,1/11/2018 11:16
11.08,hmi2,1/11/2018 11:31
11.07,hmi2,1/11/2018 12:01
11.09,hmi2,1/11/2018 12:16
11.12,hmi2,1/11/2018 12:31
11.15,hmi2,1/11/2018 12:46
11.21,hmi2,1/11/2018 13:16
11.23,hmi2,1/11/2018 13:31
11.24,hmi2,1/11/2018 13:46
11.25,hmi2,1/11/2018 14:01
11.26,hmi2,1/11/2018 14:31
11.26,hmi2,1/11/2018 14:46
11.27,hmi2,1/11/2018 15:01
11.28,hmi2,1/11/2018 15:16
11.28,hmi2,1/11/2018 15:46
11.27,hmi2,1/11/2018 16:01
11.28,hmi2,1/11/2018 16:16
11.43,hmi2,1/11/2018 16:31
11.38,hmi2,1/11/2018 17:01
11.33,hmi2,1/11/2018 17:16
11.32,hmi2,1/11/2018 17:31
11.35,hmi2,1/11/2018 17:46
11.34,hmi2,1/11/2018 18:16
11.32,hmi2,1/11/2018 18:31
11.29,hmi2,1/11/2018 18:46
11.29,hmi2,1/11/2018 19:01
11.29,hmi2,1/11/2018 19:31
11.29,hmi2,1/11/2018 19:46
11.28,hmi2,1/11/2018 20:01
11.29,hmi2,1/11/2018 20:16
11.28,hmi2,1/11/2018 20:46
11.28,hmi2,1/11/2018 21:01
11.28,hmi2,1/11/2018 21:16
11.28,hmi2,1/11/2018 21:31
11.28,hmi2,1/11/2018 22:01
11.28,hmi2,1/11/2018 22:16
11.28,hmi2,1/11/2018 22:31
11.28,hmi2,1/11/2018 22:46
11.29,hmi2,1/11/2018 23:16
11.29,hmi2,1/11/2018 23:31
11.29,hmi2,1/11/2018 23:46
11.3,hmi2,1/12/2018 0:16
11.31,hmi2,1/12/2018 1:31
11.35,hmi2,1/12/2018 2:46
11.41,hmi2,1/12/2018 4:01
11.4,hmi2,1/12/2018 5:16
11.32,hmi2,1/12/2018 6:31
11.29,hmi2,1/12/2018 7:46
11.32,hmi2,1/12/2018 9:01
11.42,hmi2,1/12/2018 10:16
11.35,hmi2,1/12/2018 11:31
11.39,hmi2,1/12/2018 12:46
11.38,hmi2,1/12/2018 14:01
11.41,hmi2,1/12/2018 15:16
11.42,hmi2,1/12/2018 16:31
11.51,hmi2,1/12/2018 17:46
11.7,hmi2,1/12/2018 19:01
11.81,hmi2,1/12/2018 20:16
11.81,hmi2,1/12/2018 21:31
11.79,hmi2,1/12/2018 22:46
11.29,hmi2,1/12/2018 0:01
11.31,hmi2,1/12/2018 0:31
11.29,hmi2,1/12/2018 0:46
11.28,hmi2,1/12/2018 1:01
11.29,hmi2,1/12/2018 1:16
11.32,hmi2,1/12/2018 1:46
11.33,hmi2,1/12/2018 2:01
11.33,hmi2,1/12/2018 2:16
11.34,hmi2,1/12/2018 2:31
11.36,hmi2,1/12/2018 3:01
11.37,hmi2,1/12/2018 3:16
11.38,hmi2,1/12/2018 3:31
11.4,hmi2,1/12/2018 3:46
11.42,hmi2,1/12/2018 4:16
11.43,hmi2,1/12/2018 4:31
11.42,hmi2,1/12/2018 4:46
11.43,hmi2,1/12/2018 5:01
11.35,hmi2,1/12/2018 5:31
11.32,hmi2,1/12/2018 5:46
11.32,hmi2,1/12/2018 6:01
11.33,hmi2,1/12/2018 6:16
11.32,hmi2,1/12/2018 6:46
11.31,hmi2,1/12/2018 7:01
11.3,hmi2,1/12/2018 7:16
11.3,hmi2,1/12/2018 7:31
11.29,hmi2,1/12/2018 8:01
11.3,hmi2,1/12/2018 8:16
11.31,hmi2,1/12/2018 8:31
11.3,hmi2,1/12/2018 8:46
11.34,hmi2,1/12/2018 9:16
11.34,hmi2,1/12/2018 9:31
11.38,hmi2,1/12/2018 9:46
11.39,hmi2,1/12/2018 10:01
11.41,hmi2,1/12/2018 10:31
11.41,hmi2,1/12/2018 10:46
11.38,hmi2,1/12/2018 11:01
11.36,hmi2,1/12/2018 11:16
11.35,hmi2,1/12/2018 11:46
11.35,hmi2,1/12/2018 12:01
11.48,hmi2,1/12/2018 12:16
