,rdate,sap
195,7/14/2014,28.946875
196,7/15/2014,29.346875
197,7/16/2014,29.03854167
198,7/17/2014,28.95104167
199,7/18/2014,29.45729167
200,7/19/2014,29.34791667
201,7/20/2014,29.13125
202,7/21/2014,29.196875
203,7/22/2014,29.17708333
204,7/23/2014,29.72916667
205,7/24/2014,30.06666667
206,7/25/2014,30.20729167
207,7/26/2014,30.028125
208,7/27/2014,30.21145833
209,7/28/2014,30.46458333
210,7/29/2014,30.49583333
211,7/30/2014,30.31458333
212,7/31/2014,30.296875
213,8/1/2014,30.66041667
214,8/2/2014,30.734375
215,8/3/2014,30.125
216,8/4/2014,29.47083333
217,8/5/2014,29.21145833
218,8/6/2014,29.68958333
219,8/7/2014,29.73229167
220,8/8/2014,30.084375
221,8/9/2014,30.0625
222,8/10/2014,29.66875
223,8/11/2014,29.66458333
224,8/12/2014,29.73645833
225,8/13/2014,29.36979167
226,8/14/2014,29.58645833
227,8/15/2014,29.89375
228,8/16/2014,30.034375
229,8/17/2014,30.48333333
230,8/18/2014,30.65104167
231,8/19/2014,30.2875
232,8/20/2014,29.92083333
233,8/21/2014,30.16979167
234,8/22/2014,30.36770833
235,8/23/2014,30.509375
236,8/24/2014,30.23125
237,8/25/2014,28.71354167
238,8/26/2014,28.43229167
239,8/27/2014,28.71979167
240,8/28/2014,28.94791667
241,8/29/2014,29.50625
242,8/30/2014,30.08125
243,8/31/2014,30.7125
244,9/1/2014,31.26041667
245,9/2/2014,31.08854167
246,9/3/2014,30.44479167
247,9/4/2014,30.596875
248,9/5/2014,30.334375
249,9/6/2014,29.584375
250,9/7/2014,28.92083333
251,9/8/2014,28.25625
252,9/9/2014,27.94270833
253,9/10/2014,28.33645833
254,9/11/2014,28.98229167
255,9/12/2014,29.659375
256,9/13/2014,30.24375
257,9/14/2014,30.31979167
258,9/15/2014,30.00416667
259,9/16/2014,29.359375
260,9/17/2014,29.05104167
261,9/18/2014,29.08229167
262,9/19/2014,28.70729167
263,9/20/2014,27.26770833
264,9/21/2014,26.078125
265,9/22/2014,26.09270833
266,9/23/2014,25.38125
267,9/24/2014,23.38645833
268,9/25/2014,22.590625
269,9/26/2014,NA
270,9/27/2014,23.52604167
271,9/28/2014,24.13125
272,9/29/2014,24.753125
273,9/30/2014,24.98854167
274,10/1/2014,25.46875
275,10/2/2014,25.65833333
276,10/3/2014,25.96875
277,10/4/2014,25.39375
278,10/5/2014,23.61354167
279,10/6/2014,22.91458333
280,10/7/2014,23.16770833
281,10/8/2014,24.075
282,10/9/2014,24.94270833
283,10/10/2014,25.65625
284,10/11/2014,26.375
285,10/12/2014,26.82395833
286,10/13/2014,27.14479167
287,10/14/2014,26.85729167
288,10/15/2014,26.03125
289,10/16/2014,24.88541667
290,10/17/2014,23.88125
291,10/18/2014,23.44583333
292,10/19/2014,22.81875
293,10/20/2014,22.36041667
294,10/21/2014,22.61770833
