WTMP,DateTimeStamp,site
30.4,7/7/2018 1:12,fb
30.4,7/7/2018 1:24,fb
30.4,7/7/2018 1:30,fb
30.4,7/7/2018 3:36,fb
30.4,7/7/2018 3:42,fb
30.4,7/7/2018 3:48,fb
30.4,7/7/2018 3:54,fb
30.4,7/7/2018 4:00,fb
30.4,7/7/2018 4:06,fb
30.4,7/7/2018 4:12,fb
30.4,7/7/2018 4:18,fb
30.4,7/7/2018 4:24,fb
30.4,7/7/2018 4:30,fb
30.4,7/7/2018 15:36,fb
30.4,7/7/2018 16:24,fb
30.4,7/7/2018 16:30,fb
30.4,7/7/2018 16:36,fb
30.4,7/7/2018 16:42,fb
30.4,7/7/2018 16:48,fb
30.4,7/7/2018 16:54,fb
30.4,7/7/2018 18:12,fb
30.4,7/7/2018 18:18,fb
30.4,7/7/2018 18:24,fb
30.4,7/7/2018 18:30,fb
30.4,7/7/2018 18:36,fb
30.4,7/7/2018 18:42,fb
30.4,7/7/2018 18:48,fb
30.4,7/7/2018 19:12,fb
30.4,7/7/2018 19:18,fb
30.4,7/7/2018 19:24,fb
30.4,7/15/2018 22:48,fb
30.4,7/25/2018 19:30,fb
30.4,7/25/2018 19:36,fb
30.4,7/25/2018 20:36,fb
30.4,7/25/2018 21:18,fb
30.4,7/25/2018 21:24,fb
30.4,7/28/2018 18:54,fb
30.4,7/28/2018 20:12,fb
30.4,7/28/2018 21:24,fb
30.4,7/30/2018 22:12,fb
30.4,9/6/2018 17:48,fb
30.4,9/6/2018 19:12,fb
30.3,6/21/2018 16:12,fb
30.3,6/22/2018 16:54,fb
30.3,6/22/2018 17:00,fb
30.3,6/22/2018 17:06,fb
30.3,6/22/2018 17:12,fb
30.3,6/22/2018 17:24,fb
30.3,6/22/2018 17:30,fb
30.3,6/22/2018 17:36,fb
30.3,6/22/2018 17:42,fb
30.3,6/22/2018 17:48,fb
30.3,6/22/2018 17:54,fb
30.3,6/22/2018 18:00,fb
30.3,6/22/2018 18:06,fb
30.3,6/22/2018 18:36,fb
30.3,6/22/2018 18:48,fb
30.3,6/23/2018 16:12,fb
30.3,6/23/2018 16:54,fb
30.3,6/23/2018 17:06,fb
30.3,6/23/2018 18:36,fb
30.3,6/23/2018 18:42,fb
30.3,6/23/2018 19:06,fb
30.3,6/23/2018 19:24,fb
30.3,6/24/2018 17:12,fb
30.3,6/24/2018 17:54,fb
30.3,6/24/2018 19:36,fb
30.3,6/24/2018 20:12,fb
30.3,6/24/2018 20:18,fb
30.3,6/25/2018 18:12,fb
30.3,6/25/2018 18:18,fb
30.3,6/25/2018 18:36,fb
30.3,6/25/2018 18:42,fb
30.3,6/25/2018 19:36,fb
30.3,6/25/2018 19:42,fb
